#EXPORTTYPE:           ,DATA ALL                      ,,
#FILE:                 ,sanidMtp3run1.ngb-sle         ,,
#FORMAT:               ,NETZSCH5                      ,,
#FTYPE:                ,ANSI                          ,,
#IDENTITY:             ,mt thrid orien                ,,
#DECIMAL:              ,POINT                         ,,
#SEPARATOR:            ,COMMA                         ,,
#MTYPE:                ,DIL                           ,,
#INSTRUMENT:           ,NETZSCH DIL 402C              ,,
#PROJECT:              ,morb                          ,,
#DATE/TIME:            ,11/14/2018 11:35:03 AM (UTC-6),,
#CORR. FILE:           ,                              ,,
#TEMPCAL:              ,TCALZERO.TMX                  ,,
#LABORATORY:           ,min phys                      ,,
#OPERATOR:             ,amh                           ,,
#REMARK:               ,bare, norm start, calib run   
#SAMPLE:               ,mt t ortho010                 ,,
#SAMPLE LENGTH /mm:    ,4.35,,
#MATERIAL:             ,sapphire stnd                 ,,
#MEASMODE:             ,Standard Expansion            ,,
#PURGE GAS 1:          ,ARGON                         ,,
#FLOW RATE 1 /(ml/min):,75,,
#M.RANGE /�m:          ,500,,
#CORR. CODE:           ,10,,
#RANGE:                ,20.0�C/3.0(K/min)/950.0�C     ,,
#SEGMENT:              ,S1/1                          ,,
#SEG. 1:               ,20.0�C/3.0(K/min)/950.0�C     ,,
,,,
##Temp./�C,Time/min,dL/Lo,
23.191,3.12,3.4372E-06,
23.184,3.14167,3.3297E-06,
23.182,3.16333,2.7406E-06,
23.178,3.185,2.712E-06,
23.177,3.20667,3.2509E-06,
23.179,3.22833,2.8916E-06,
23.176,3.25,2.4104E-06,
23.172,3.27167,2.3243E-06,
23.171,3.29333,1.4264E-06,
23.173,3.315,2.2453E-06,
23.171,3.33667,1.7999E-06,
23.167,3.35833,9.6673E-07,
23.169,3.38,1.3546E-06,
23.159,3.40167,5.647E-07,
23.165,3.42333,6.9381E-07,
23.157,3.445,2.343E-07,
23.163,3.46667,-2.9751E-07,
23.16,3.48833,2.8449E-07,
23.16,3.51,3.1323E-07,
23.165,3.53167,1.7657E-07,
23.163,3.55333,-1.8256E-07,
23.162,3.575,-7.3568E-07,
23.164,3.59667,-1.2961E-06,
23.163,3.61833,-1.1021E-06,
23.159,3.64,-1.102E-06,
23.158,3.66167,-1.77E-06,
23.164,3.68333,-1.8996E-06,
23.164,3.705,-2.3881E-06,
23.162,3.72667,-2.8334E-06,
23.168,3.74833,-3.279E-06,
23.169,3.77,-3.5305E-06,
23.172,3.79167,-3.6814E-06,
23.173,3.81333,-4.4501E-06,
23.177,3.835,-4.0767E-06,
23.181,3.85667,-5.1688E-06,
23.176,3.87833,-5.7505E-06,
23.184,3.9,-6.0956E-06,
23.192,3.92167,-6.1534E-06,
23.198,3.94333,-6.1392E-06,
23.209,3.965,-7.2962E-06,
23.222,3.98667,-7.7205E-06,
23.234,4.00833,-7.8071E-06,
23.234,4.03,-7.8933E-06,
23.245,4.05167,-9.0215E-06,
23.258,4.07333,-9.3596E-06,
23.261,4.095,-1.0028E-05,
23.279,4.11667,-1.01E-05,
23.282,4.13833,-1.1429E-05,
23.296,4.16,-1.1933E-05,
23.305,4.18167,-1.2443E-05,
23.315,4.20333,-1.332E-05,
23.328,4.225,-1.429E-05,
23.334,4.24667,-1.5569E-05,
23.351,4.26833,-1.5792E-05,
23.367,4.29,-1.7E-05,
23.381,4.31167,-1.779E-05,
23.394,4.33333,-1.833E-05,
23.409,4.355,-1.9515E-05,
23.427,4.37667,-2.0824E-05,
23.451,4.39833,-2.1399E-05,
23.47,4.42,-2.2987E-05,
23.486,4.44167,-2.27E-05,
23.51,4.46333,-2.4799E-05,
23.516,4.485,-2.5101E-05,
23.542,4.50667,-2.7271E-05,
23.565,4.52833,-2.771E-05,
23.59,4.55,-2.9169E-05,
23.603,4.57167,-3.0571E-05,
23.625,4.59333,-3.1132E-05,
23.654,4.615,-3.2677E-05,
23.688,4.63667,-3.3813E-05,
23.703,4.65833,-3.4769E-05,
23.726,4.68,-3.5812E-05,
23.757,4.70167,-3.7084E-05,
23.785,4.72333,-3.878E-05,
23.815,4.745,-4.006E-05,
23.843,4.76667,-4.1095E-05,
23.873,4.78833,-4.2892E-05,
23.91,4.81,-4.3691E-05,
23.947,4.83167,-4.5093E-05,
23.984,4.85333,-4.6926E-05,
24.005,4.875,-4.8097E-05,
24.046,4.89667,-4.9672E-05,
24.085,4.91833,-5.083E-05,
24.118,4.94,-5.203E-05,
24.158,4.96167,-5.3066E-05,
24.194,4.98333,-5.5452E-05,
24.243,5.005,-5.6682E-05,
24.282,5.02667,-5.8357E-05,
24.334,5.04833,-5.9134E-05,
24.376,5.07,-6.0903E-05,
24.42,5.09167,-6.2053E-05,
24.469,5.11333,-6.4663E-05,
24.513,5.135,-6.5928E-05,
24.56,5.15667,-6.6741E-05,
24.606,5.17833,-6.8998E-05,
24.655,5.2,-7.04E-05,
24.703,5.22167,-7.2241E-05,
24.765,5.24333,-7.332E-05,
24.805,5.265,-7.516E-05,
24.861,5.28667,-7.7202E-05,
24.91,5.30833,-7.8547E-05,
24.972,5.33,-8.0804E-05,
25.018,5.35167,-8.2199E-05,
25.08,5.37333,-8.3307E-05,
25.136,5.395,-8.5176E-05,
25.198,5.41667,-8.6916E-05,
25.257,5.43833,-8.8448E-05,
25.315,5.46,-8.9814E-05,
25.373,5.48167,-9.1065E-05,
25.433,5.50333,-9.2762E-05,
25.5,5.525,-9.484E-05,
25.564,5.54667,-9.6479E-05,
25.624,5.56833,-9.8004E-05,
