,Temp./�C,Time/min,dL/Lo,Certificate,Standard,Corrected,delT,EngAlpha,Fitted,Alpha
0,23.426,0.43333,2.6382e-05,8.396881927222669e-05,-0.00038759514283783804,0.0004979459621100648,-0.03900000000000148,-0.01276784518230887,0.0004689734577966754,-4.77884428717717e-05
0,23.424,0.455,2.6655e-05,8.395753235368973e-05,-0.00038762611298952254,0.0004982386453432123,-0.04100000000000037,-0.012152162081541653,0.0004690690435790212,-4.7797339632111805e-05
0,23.423,0.47667,2.6073e-05,8.395188891374781e-05,-0.0003876415980432618,0.0004976664869570096,-0.04200000000000159,-0.011849202070404541,0.00046911684314300154,-4.780178836785731e-05
0,23.416,0.49833,2.6138e-05,8.391238519495081e-05,-0.0003877499930067894,0.0004978003782017402,-0.04899999999999949,-0.010159191391872354,0.0004694515646720586,-4.783293615609103e-05
0,23.416,0.52,2.6253e-05,8.391238519495081e-05,-0.0003877499930067894,0.0004979153782017401,-0.04899999999999949,-0.010161538330647864,0.0004694515646720586,-4.783293615609103e-05
0,23.418,0.54167,2.5721e-05,8.392367190732282e-05,-0.0003877190230908954,0.0004973636949982183,-0.0470000000000006,-0.0105822062765577,0.00046935590770045795,-4.782403560259934e-05
0,23.415,0.56333,2.5614e-05,8.390674185809396e-05,-0.0003877654779426299,0.0004972862198007238,-0.05000000000000071,-0.009945724396014335,0.00046949939983351126,-4.783738678849036e-05
0,23.41,0.585,2.5894e-05,8.387852536708915e-05,-0.0003878429024007802,0.0004976154277678694,-0.054999999999999716,-0.009047553232143126,0.00046973864240678053,-4.785964350728197e-05
0,23.403,0.60667,2.5269e-05,8.383902282088195e-05,-0.0003879512960232104,0.0004970593188440923,-0.062000000000001165,-0.00801708578780779,0.00047007376899733537,-4.789081287379973e-05
0,23.401,0.62833,2.5686e-05,8.382773649508006e-05,-0.0003879822654969788,0.0004974960019920589,-0.06400000000000006,-0.007773375031125913,0.00047016955953059275,-4.789972054169428e-05
0,23.405,0.65,2.5571e-05,8.385030919822681e-05,-0.0003879203264904908,0.0004973416356887177,-0.05999999999999872,-0.008289027261478805,0.00046997799627846495,-4.788190615466133e-05
0,23.4,0.67167,2.519e-05,8.38220933515087e-05,-0.0003879977502117566,0.0004970098435632653,-0.06500000000000128,-0.007646305285588547,0.0004702174614782095,-4.7904174731441346e-05
0,23.398,0.69333,2.5176e-05,8.381080710302344e-05,-0.0003880287195970958,0.0004970155267001192,-0.06700000000000017,-0.007418142189553999,0.00047031327873660534,-4.7913083822567634e-05
0,23.397,0.715,2.5054e-05,8.380516399810953e-05,-0.0003880442042676589,0.0004969033682657685,-0.06800000000000139,-0.007307402474496446,0.00047036119404785887,-4.791753872395987e-05
0,23.399,0.73667,2.5097e-05,8.381645022082287e-05,-0.00038801323491179443,0.0004969266851326173,-0.06599999999999895,-0.00752919219897917,0.00047026536788013454,-4.790862915839696e-05
0,23.393,0.75833,2.4249e-05,8.378259170731435e-05,-0.0003881061428025294,0.0004961377345098438,-0.07199999999999918,-0.006890801868192354,0.00047055289984544523,-4.79353607018743e-05
0,23.388,0.78,2.4645e-05,8.375437663375902e-05,-0.00038818356563949906,0.0004965829422732581,-0.07699999999999818,-0.006449129120432075,0.00047079263235350966,-4.795764351253262e-05
0,23.39,0.80167,2.4803e-05,8.376566262452336e-05,-0.0003881525965489258,0.0004967212591734492,-0.07499999999999929,-0.006622950122312719,0.0004706967259804788,-4.794872967645506e-05
0,23.39,0.82333,2.4285e-05,8.376566262452336e-05,-0.0003881525965489258,0.0004962032591734492,-0.07499999999999929,-0.0066160434556460515,0.0004706967259804788,-4.794872967645506e-05
0,23.385,0.845,2.4451e-05,8.373744774426133e-05,-0.00038823001916481886,0.0004964184669090802,-0.0799999999999983,-0.0062052308363636345,0.00047093652534231385,-4.7971016046314585e-05
0,23.384,0.86667,2.3812e-05,8.373180480686793e-05,-0.00038824550364378006,0.000495789308450648,-0.08099999999999952,-0.00612085565988458,0.00047098449858733356,-4.797547403217876e-05
0,23.383,0.88833,2.4006e-05,8.372616188236093e-05,-0.00038826098810800305,0.000495993149990364,-0.08200000000000074,-0.006048696951101946,0.00047103247629045757,-4.797993225535553e-05
0,23.383,0.91,2.412e-05,8.372616188236093e-05,-0.00038826098810800305,0.000496107149990364,-0.08200000000000074,-0.006050087195004384,0.00047103247629045757,-4.797993225535553e-05
0,23.379,0.93167,2.3316e-05,8.37035903131951e-05,-0.00038832292581750423,0.0004953425161306993,-0.08599999999999852,-0.005759796699194277,0.00047122443168874493,-4.799776752131861e-05
