,Temp./�C,Time/min,dL/Lo,Certificate,Standard,Corrected,delT,EngAlpha,Fitted,Alpha
0,46.521,9.30664,-0.00039917,0.00021768813235351504,-2.6147050559010773e-05,-0.0001553348170874742,27.5,-5.64853880318088e-06,-5.4522921391357516e-05,1.0153697517409892e-07
0,47.021,9.40247,-0.00039669,0.00022065675958127858,-1.8239778624511843e-05,-0.00015779346179420957,28.0,-5.635480778364627e-06,-5.446904239533152e-05,1.1397640270322268e-07
0,47.521,9.49792,-0.00039466,0.0002236284567685579,-1.0329135786982246e-05,-0.00016070240744445988,28.5,-5.638680962963504e-06,-5.440894759424779e-05,1.2640019667270302e-07
0,48.021,9.59321,-0.00039189,0.0002266032207519147,-2.415128544175707e-06,-0.00016287165070390957,29.0,-5.616263817376192e-06,-5.434264480297835e-05,1.3880836472239343e-07
0,48.521,9.68838,-0.00038924,0.00022958104836973744,5.502236611989661e-06,-0.00016516118824225223,29.5,-5.598684347194991e-06,-5.4270141832572305e-05,1.5120091449214145e-07
0,49.021,9.78328,-0.00038652,0.00023256193646223767,1.3422953195424414e-05,-0.00016738101673318675,30.0,-5.5793672244395584e-06,-5.419144649025979e-05,1.6357785362179718e-07
0,49.521,9.87781,-0.00038345,0.00023554588187144673,2.1347014725876454e-05,-0.00016925113285442975,30.5,-5.549217470637041e-06,-5.4106566579450186e-05,1.7593918975121155e-07
0,50.021,9.97213,-0.00038052,0.00023853288144122433,2.9274414728917147e-05,-0.00017126153328769284,31.0,-5.524565589925576e-06,-5.4015509899735204e-05,1.8828493052023295e-07
0,50.521,10.06612,-0.0003769,0.00024152293201725166,3.720514673595347e-05,-0.0001725822147187018,31.5,-5.478800467260375e-06,-5.391828424688408e-05,2.0061508356871402e-07
0,51.021,10.16003,-0.00037413,0.00024451603044703396,4.5139204284226284e-05,-0.00017475317383719235,32.0,-5.461036682412261e-06,-5.381489741284663e-05,2.1292965653650232e-07
0,51.521,10.25376,-0.00037092,0.0002475121735798988,5.307658091680163e-05,-0.00017648440733690284,32.5,-5.430289456520088e-06,-5.370535718575409e-05,2.2522865706344791e-07
0,52.021,10.34739,-0.00036741,0.00025051135826699693,6.1017270182581185e-05,-0.00017791591191558423,33.0,-5.391391270169219e-06,-5.358967134991657e-05,2.375120927894026e-07
0,52.521,10.44087,-0.0003641,0.00025351358136130493,6.896126563629874e-05,-0.00017954768427499383,33.5,-5.359632366417726e-06,-5.3467847685824714e-05,2.4977997135421563e-07
0,53.021,10.53427,-0.00036109,0.0002565188397176234,7.690856083851678e-05,-0.00018147972112089337,34.0,-5.337638856496864e-06,-5.3339893970148896e-05,2.6203230039773454e-07
0,53.521,10.62772,-0.00035736,0.0002595271301925727,8.485914935563166e-05,-0.00018269201916305892,34.5,-5.295420845306055e-06,-5.320581797574092e-05,2.742690875598128e-07
0,54.021,10.72115,-0.00035359,0.000262538449644599,9.281302475986838e-05,-0.00018386457511526937,35.0,-5.253273574721982e-06,-5.306562747162927e-05,2.864903404802997e-07
0,54.521,10.81437,-0.00035002,0.00026555279493397244,0.00010077018062928586,-0.0001852373856953134,35.5,-5.217954526628547e-06,-5.291933022302689e-05,2.986960667990419e-07
0,55.021,10.90745,-0.00034644,0.0002685701629227856,0.00010873061054777165,-0.00018660044762498605,36.0,-5.183345767360724e-06,-5.2766933991324266e-05,3.1088627415589454e-07
0,55.521,11.00052,-0.0003424,0.00027159055047495505,0.00011669430810504894,-0.00018750375763009386,36.5,-5.137089250139558e-06,-5.26084465340916e-05,3.2306097019070185e-07
0,56.021,11.09355,-0.00033906,0.00027461395445622233,0.00012466126689666783,-0.00018910731244044552,37.0,-5.111008444336366e-06,-5.244387560508095e-05,3.3522016254331897e-07
0,56.521,11.18649,-0.00033477,0.0002776403717341478,0.00013263148052401579,-0.000189761108789868,37.5,-5.06029623439648e-06,-5.2273228954221934e-05,3.4736385885359346e-07
0,57.021,11.27944,-0.00033063,0.00028066979917812113,0.00014060494259430373,-0.0001905651434161826,38.0,-5.0148721951627e-06,-5.209651432762732e-05,3.5949206676137455e-07
0,57.521,11.37235,-0.00032711,0.0002837022336593517,0.0001485816467205782,-0.0001919894130612265,38.5,-4.986738001590298e-06,-5.191373946758786e-05,3.71604793906514e-07
0,58.021,11.46518,-0.00032288,0.00028673767205087547,0.00015656158652172132,-0.00019270391447084585,39.0,-4.94112601207297e-06,-5.1724912112574876e-05,3.83702047928862e-07
0,58.521,11.55803,-0.00031877,0.0002897761112275474,0.000164544755622437,-0.0001935386443948896,39.5,-4.8997125163263185e-06,-5.153003999723983e-05,3.957838364682651e-07
0,59.021,11.65092,-0.00031447,0.00029281754806605165,0.0001725311476532699,-0.00019418359958721826,40.0,-4.854589989680456e-06,-5.132913085241389e-05,4.078501671645769e-07
0,59.521,11.74386,-0.00031003,0.00029586197944489207,0.00018052075625058991,-0.00019468877680569783,40.5,-4.807130291498712e-06,-5.112219240510879e-05,4.1990104765764663e-07
0,60.021,11.83685,-0.00030591,0.0002989094022443975,0.00018851357505660256,-0.00019551417281220507,41.0,-4.7686383612732944e-06,-5.090923237851641e-05,4.3193648558732264e-07
0,60.521,11.93,-0.00030162,0.0003019598133467173,0.000196509597719342,-0.00019616978437262468,41.5,-4.72698275596686e-06,-5.069025849200877e-05,4.4395648859345757e-07
0,61.021,12.02322,-0.00029666,0.0003050132096358285,0.00020450881789267454,-0.0001961556082568461,42.0,-4.670371625163002e-06,-5.046527846113715e-05,4.5596106431589645e-07
0,61.521,12.11639,-0.00029219,0.00030806958799752936,0.0002125112292362969,-0.00019663164123876755,42.5,-4.626626852676884e-06,-5.023429999763342e-05,4.6795022039449613e-07
0,62.021,12.20973,-0.00028815,0.0003111289453194433,0.0002205168254157397,-0.00019753788009629637,43.0,-4.593904188285962e-06,-4.9997330809410006e-05,4.799239644691016e-07
0,62.521,12.30298,-0.00028295,0.00031419127849101596,0.0002285256001023639,-0.00019728432161134795,43.5,-4.535271761180413e-06,-4.975437860055818e-05,4.91882304179563e-07
0,63.021,12.39646,-0.00027864,0.0003172565844035153,0.0002365375469733609,-0.00019792096256984558,44.0,-4.498203694769218e-06,-4.9505451071351096e-05,5.038252471657338e-07
0,63.521,12.48989,-0.00027409,0.00032032485995003683,0.0002445526597117543,-0.00019831779976171746,44.5,-4.456579769926235e-06,-4.925055591823986e-05,5.157528010674615e-07
0,64.021,12.58325,-0.00026883,0.0003233961020254958,0.0002525709320063997,-0.00019800482998090393,45.0,-4.400107332908976e-06,-4.898970083385746e-05,5.276649735245945e-07
0,64.521,12.67674,-0.00026413,0.0003264703075266306,0.00026059235755198154,-0.00019825205002535094,45.5,-4.3571879126450755e-06,-4.872289350701616e-05,5.395617721769864e-07
0,65.021,12.77012,-0.00025927,0.0003295474733520081,0.00026861693004901974,-0.0001983394566970116,46.0,-4.311727319500252e-06,-4.845014162270793e-05,5.514432046644846e-07
0,65.521,12.86367,-0.0002537,0.000332627596402014,0.00027664464320386294,-0.00019771704680184894,46.5,-4.251979501115031e-06,-4.817145286210617e-05,5.633092786269375e-07
