,Temp./°C,Time/min,dL/Lo,Certificate,Standard,Corrected,delT,EngAlpha,Fitted,Alpha
0,22.51,0.0,2.2189e-05,7.880480783858598e-05,-0.00019877448918604462,0.0002997682970246306,0.0,inf,0.0002841751508762195,-7.706972341266626e-06
0,22.52,0.02167,2.2486e-05,7.886112506745677e-05,-0.0001986382703353315,0.00029998539540278827,0.00999999999999801,0.029998539540284794,0.0002840980863172717,-7.705939456753515e-06
0,22.528,0.04333,2.2652e-05,7.890617977999049e-05,-0.00019852929484414326,0.00030008747462413377,0.01799999999999713,0.01667152636801009,0.000284036442106725,-7.705113185280665e-06
0,22.526,0.065,2.2997e-05,7.889491602440513e-05,-0.0001985565387511573,0.0003004484547755624,0.015999999999998238,0.01877802842347472,0.00028405185253965997,-7.705319750137436e-06
0,22.526,0.08667,2.308e-05,7.889491602440513e-05,-0.0001985565387511573,0.0003005314547755624,0.015999999999998238,0.01878321592347472,0.00028405185253965997,-7.705319750137436e-06
0,22.525,0.10833,2.3206e-05,7.8889284165975e-05,-0.00019857016069611128,0.0003006654448620863,0.014999999999997016,0.02004436299080974,0.0002840595579110515,-7.705423033318683e-06
0,22.532,0.13,2.3682e-05,7.892870744606508e-05,-0.00019847480696167687,0.00030108551440774197,0.021999999999998465,0.013685705200352862,0.00028400562248023374,-7.704700061589926e-06
0,22.531,0.15167,2.3683e-05,7.892307551018388e-05,-0.00019848842894084652,0.0003010945044510304,0.020999999999997243,0.014337833545289044,0.0002840133272319356,-7.70480334175976e-06
0,22.542,0.17333,2.4104e-05,7.898502751484387e-05,-0.00019833858685629722,0.0003014276143711411,0.03200000000000003,0.009419612949098152,0.00028392858064353057,-7.7036672874958e-06
0,22.533,0.195,2.449e-05,7.893433939485436e-05,-0.00019846118497679997,0.00030188552437165433,0.022999999999999687,0.013125457581376454,0.0002839979178318123,-7.704596781921994e-06
0,22.536,0.21667,2.4604e-05,7.895123531867498e-05,-0.00019842031898796055,0.00030197555430663554,0.0259999999999998,0.011614444396409148,0.0002839748045062212,-7.70428694592956e-06
0,22.537,0.23833,2.4594e-05,7.895686731910004e-05,-0.0001984066969802755,0.00030195756429937556,0.02699999999999747,0.011183613492570512,0.0002839671002709146,-7.704183668269207e-06
0,22.537,0.26,2.4861e-05,7.895686731910004e-05,-0.0001984066969802755,0.00030222456429937554,0.02699999999999747,0.011193502381459402,0.0002839671002709146,-7.704183668269207e-06
0,22.536,0.28167,2.5238e-05,7.895123531867498e-05,-0.00019842031898796055,0.00030260955430663555,0.0259999999999998,0.011638829011793764,0.0002839748045062212,-7.70428694592956e-06
0,22.543,0.30333,2.5221e-05,7.899065959271825e-05,-0.00019832496481439477,0.000302536624407113,0.0329999999999977,0.009167776497185882,0.0002839208770278798,-7.703564012846781e-06
0,22.535,0.325,2.5222e-05,7.894560333116148e-05,-0.00019843394098994355,0.000302601544321105,0.02499999999999858,0.012104061772844888,0.00028398250884480647,-7.704390224091809e-06
0,22.542,0.34667,2.5673e-05,7.898502751484387e-05,-0.00019833858685629722,0.0003029966143711411,0.03200000000000003,0.00946864419909815,0.00028392858064353057,-7.7036672874958e-06
0,22.544,0.36833,2.5487e-05,7.899629168349985e-05,-0.00019831134276678854,0.00030279463445028837,0.03399999999999892,0.008905724542655823,0.00028391317351550427,-7.703460738699651e-06
0,22.55,0.39,2.6122e-05,7.903008449926512e-05,-0.00019822961036138585,0.000303381694860651,0.03999999999999915,0.007584542371516436,0.00028386695460998397,-7.702841104356428e-06
0,22.551,0.41167,2.613e-05,7.903571668040239e-05,-0.00019821598827385843,0.0003033817049542608,0.04099999999999682,0.007399553779372789,0.0002838592518205154,-7.70273783372247e-06
0,22.549,0.43333,2.6424e-05,7.90244523310342e-05,-0.0001982432324432095,0.0003036916847742437,0.038999999999997925,0.0077869662762630725,0.0002838746575027241,-7.70294437549226e-06
0,22.548,0.455,2.6333e-05,7.901882017571048e-05,-0.00019825685451933112,0.0003036086746950416,0.0379999999999967,0.007989701965659683,0.0002838823604987353,-7.703047647129972e-06
0,22.551,0.47667,2.6572e-05,7.903571668040239e-05,-0.00019821598827385843,0.0003038237049542608,0.04099999999999682,0.007410334267177668,0.0002838592518205154,-7.70273783372247e-06
0,22.554,0.49833,2.6802e-05,7.905261330126874e-05,-0.00019817512197705701,0.0003040297352783258,0.04399999999999693,0.006909766710871523,0.0002838361440717287,-7.702428024831856e-06
0,22.551,0.52,2.6831e-05,7.903571668040239e-05,-0.00019821598827385843,0.0003040827049542608,0.04099999999999682,0.007416651340348401,0.0002838592518205154,-7.70273783372247e-06
0,22.552,0.54167,2.6996e-05,7.904134887445121e-05,-0.0001982023661806255,0.0003042397150550767,0.04199999999999804,0.007243802739406927,0.00028385154913431647,-7.702634563590388e-06
0,22.555,0.56333,2.731e-05,7.905824553403919e-05,-0.00019816149986671798,0.0003045297454007572,0.04499999999999815,0.0067673276755726595,0.00028382844169533815,-7.702324756205408e-06
0,22.555,0.585,2.7318e-05,7.905824553403919e-05,-0.00019816149986671798,0.0003045377454007572,0.04499999999999815,0.006767505453350438,0.00028382844169533815,-7.702324756205408e-06
0,22.56,0.60667,2.7412e-05,7.908640689151172e-05,-0.0001980933892294784,0.0003045917961209901,0.04999999999999716,0.006091835922420148,0.00028378993136240127,-7.70180842060121e-06
0,22.559,0.62833,2.748e-05,7.908077459420175e-05,-0.0001981070113683328,0.00030466778596253453,0.04899999999999949,0.006217709917602811,0.00028379763322245485,-7.70191168671831e-06
