Temp./�C,Time/min,dL/Lo,Certificate,Standard,Corrected,delT,EngAlpha,Fitted,Alpha,SplFit,Poly5,TightSpl
33.067,7.58333,-3.46e-05,0.000138972,-0.000237627,0.00034198800000000005,10.333,3.3100000000000005e-05,0.0001444013931194547,1.62e-06,9.813122233758245e-05,0.0002826649792935128,0.00034244085098235474
33.175,7.605,-3.43e-05,0.000139595,-0.000235939,0.000341187,10.441,3.27e-05,0.00014481875252729754,1.62e-06,9.864948002105345e-05,0.00028262185645864385,0.0003414916358769619
33.278,7.62667,-3.39e-05,0.00014019,-0.00023432900000000005,0.00034057900000000003,10.544,3.2299999999999986e-05,0.00014521696558250988,1.62e-06,9.914382551084303e-05,0.00028258158092967205,0.0003405987431407254
33.382,7.64833,-3.37e-05,0.00014079,-0.00023270400000000005,0.00033976300000000003,10.648,3.19e-05,0.00014561921891493223,1.63e-06,9.964305091874773e-05,0.0002825417565843311,0.00033970933244395165
33.486,7.67,-3.3799999999999995e-05,0.00014139,-0.000231079,0.000338676,10.752,3.15e-05,0.0001460216471675618,1.63e-06,0.00010014235715850796,0.0002825027778770974,0.00033883202264270944
33.584,7.6916699999999985,-3.3600000000000004e-05,0.000141955,-0.000229547,0.000337941,10.85,3.11e-05,0.00014640101843274578,1.63e-06,0.00010061293123665405,0.00028246682123179295,0.00033801630282962115
33.695,7.71333,-3.34e-05,0.00014259600000000002,-0.000227811,0.000337042,10.961,3.07e-05,0.00014683090193778068,1.64e-06,0.00010114601508523917,0.0002824270003602869,0.0003371051207229132
33.795,7.735,-3.3100000000000005e-05,0.000143174,-0.000226248,0.000336364,11.061,3.04e-05,0.0001472183548416827,1.64e-06,0.00010162634963663825,0.0002823919486851772,0.00033629572284652
33.902,7.75667,-3.3e-05,0.000143792,-0.000224575,0.000335386,11.168,3e-05,0.00014763310833621748,1.64e-06,0.00010214039035345644,0.0002823553066244435,0.0003354416112932945
34.006,7.77833,-3.3e-05,0.00014439299999999998,-0.000222949,0.00033437800000000003,11.272,2.97e-05,0.00014803641040702373,1.65e-06,0.00010264010069050817,0.00028232054650680505,0.0003346231701448888
34.111999999999995,7.8,-3.27e-05,0.000145005,-0.000221291,0.000333646,11.378,2.93e-05,0.00014844764796270943,1.65e-06,0.00010314950399468259,0.00028228598415935184,0.00033380076789585794
34.212,7.82167,-3.27e-05,0.000145583,-0.000219727,0.000332648,11.478,2.9e-05,0.00014883577414838726,1.65e-06,0.00010363015009761921,0.00028225417920303003,0.00033303571334838234
34.321,7.84333,-3.19e-05,0.000146214,-0.000218022,0.000332306,11.587,2.87e-05,0.00014925901546196515,1.66e-06,0.00010415413944026318,0.0002822203969620406,0.00033221362765084963
34.416,7.865,-3.15e-05,0.000146763,-0.000216536,0.00033178300000000005,11.682,2.84e-05,0.00014962805179620378,1.66e-06,0.00010461089978304032,0.0002821917061822201,0.00033150709432283127
34.516,7.88667,-3.15e-05,0.000147341,-0.000214972,0.00033086300000000003,11.782,2.81e-05,0.00015001666830766853,1.66e-06,0.00010509177297201643,0.0002821622619181216,0.00033077330431768794
34.629,7.90833,-3.1e-05,0.000147995,-0.000213204,0.000330241,11.895,2.78e-05,0.0001504559989567093,1.67e-06,0.00010563524956337599,0.0002821299230233573,0.00032995625762266247
34.731,7.93,-3.09e-05,0.000148585,-0.000211607,0.00032925,11.997,2.7399999999999995e-05,0.00015085273960328133,1.67e-06,0.00010612590324910833,0.00028210158170789094,0.00032922969231582663
34.833,7.95167,-3.06e-05,0.000149176,-0.000210011,0.000328542,12.099,2.72e-05,0.0001512496478564807,1.67e-06,0.00010661663463611122,0.0002820740458502071,0.0003285134062749803
34.941,7.973330000000002,-3.03e-05,0.000149801,-0.000208321,0.000327857,12.207,2.69e-05,0.00015167008628481958,1.68e-06,0.00010713631726265458,0.0002820457674899239,0.00032776607546704007
35.047,7.995,-2.99e-05,0.000150415,-0.000206662,0.000327164,12.313,2.660000000000001e-05,0.00015208292142409414,1.68e-06,0.00010764646083476524,0.0002820188895357053,0.00032704355995561205
