Temp./°C,Time/min,dL/Lo,Certificate,Standard,Corrected,delT,EngAlpha,Fitted,Alpha,SplFit,Poly5,TightSpl
33.067,7.58333,-3.46e-05,0.000138972,-0.00023762700000000002,0.00034198800000000005,10.333,3.3100000000000005e-05,0.00014440139311944818,1.62e-06,9.813122233758351e-05,0.0002826649792935132,0.0003424408509823545
33.175,7.605,-3.43e-05,0.000139595,-0.000235939,0.00034118699999999996,10.440999999999999,3.27e-05,0.00014481875252729103,1.62e-06,9.86494800210545e-05,0.00028262185645864385,0.0003414916358769617
33.278,7.62667,-3.39e-05,0.00014019,-0.00023432900000000005,0.00034057900000000003,10.544,3.2299999999999986e-05,0.00014521696558250337,1.62e-06,9.914382551084409e-05,0.0002825815809296725,0.0003405987431407252
33.382,7.6483300000000005,-3.37e-05,0.00014079,-0.00023270400000000005,0.00033976300000000003,10.648,3.19e-05,0.00014561921891492573,1.63e-06,9.964305091874879e-05,0.0002825417565843315,0.0003397093324439515
33.486,7.67,-3.3799999999999995e-05,0.00014139,-0.000231079,0.000338676,10.752,3.15e-05,0.00014602164716755574,1.63e-06,0.00010014235715850902,0.0002825027778770978,0.00033883202264270933
33.584,7.6916699999999985,-3.3600000000000004e-05,0.000141955,-0.000229547,0.00033794099999999997,10.85,3.11e-05,0.00014640101843273927,1.63e-06,0.0001006129312366551,0.00028246682123179295,0.000338016302829621
33.695,7.71333,-3.34e-05,0.00014259600000000002,-0.000227811,0.00033704199999999996,10.960999999999999,3.07e-05,0.00014683090193777417,1.64e-06,0.00010114601508524022,0.00028242700036028735,0.00033710512072291304
33.795,7.735,-3.3100000000000005e-05,0.000143174,-0.000226248,0.000336364,11.061,3.04e-05,0.00014721835484167618,1.64e-06,0.00010162634963663931,0.0002823919486851772,0.0003362957228465199
33.902,7.75667,-3.3e-05,0.000143792,-0.000224575,0.00033538599999999996,11.168,2.9999999999999997e-05,0.00014763310833621097,1.64e-06,0.0001021403903534575,0.0002823553066244435,0.00033544161129329443
34.006,7.77833,-3.3e-05,0.00014439299999999998,-0.000222949,0.00033437800000000003,11.272,2.97e-05,0.00014803641040701723,1.65e-06,0.00010264010069050924,0.00028232054650680505,0.00033462317014488867
34.111999999999995,7.8,-3.27e-05,0.000145005,-0.00022129099999999998,0.000333646,11.378,2.9299999999999997e-05,0.00014844764796270293,1.65e-06,0.00010314950399468365,0.00028228598415935184,0.0003338007678958579
34.211999999999996,7.82167,-3.27e-05,0.000145583,-0.00021972700000000002,0.000332648,11.478,2.8999999999999997e-05,0.00014883577414838032,1.65e-06,0.00010363015009762024,0.00028225417920303003,0.00033303571334838234
34.321,7.84333,-3.19e-05,0.000146214,-0.000218022,0.000332306,11.587,2.8699999999999996e-05,0.00014925901546195865,1.66e-06,0.00010415413944026422,0.0002822203969620406,0.0003322136276508496
34.416,7.865,-3.15e-05,0.000146763,-0.00021653599999999997,0.00033178300000000005,11.682,2.84e-05,0.00014962805179619728,1.66e-06,0.00010461089978304139,0.0002821917061822201,0.0003315070943228312
34.516,7.88667,-3.15e-05,0.000147341,-0.00021497200000000001,0.00033086300000000003,11.782,2.8100000000000002e-05,0.00015001666830766203,1.66e-06,0.00010509177297201749,0.00028216226191812204,0.0003307733043176879
