Temp./ï¿œC,Time/min,dL/Lo,Certificate,Standard,Corrected,delT,EngAlpha,Fitted,Alpha,Poly5,SplFit,TightSpl
25.018,5.3516699999999995,-8.22e-05,9.300000000000001e-05,-0.00036292400000000004,0.000373695,1.5530000000000002,0.000240628,0.00036182210010592597,-4.1e-05,0.0003767612037929628,0.00033707754407720297,0.0003651681269484628
25.08,5.37333,-8.329999999999999e-05,9.329999999999999e-05,-0.00036196300000000003,0.000371976,1.615,0.000230326,0.0003598380236021676,-4.0799999999999996e-05,0.0003742479296304095,0.00033567647443107226,0.000363070526497611
25.136,5.395,-8.52e-05,9.36e-05,-0.000361094,0.000369556,1.671,0.00022115900000000001,0.0003580556367784923,-4.05e-05,0.00037199446834888084,0.0003344157904987769,0.0003611867423236005
25.198,5.41667,-8.690000000000001e-05,9.4e-05,-0.000360132,0.00036720599999999997,1.733,0.00021189,0.00035609296752877635,-4.03e-05,0.00036951784034075985,0.0003330253395602453,0.0003591130720965524
25.256999999999998,5.4383300000000006,-8.840000000000001e-05,9.429999999999999e-05,-0.00035921699999999995,0.00036509300000000004,1.7919999999999998,0.000203735,0.00035423566444154974,-4e-05,0.0003671787916997135,0.0003317073404866987,0.00035715136674816444
25.315,5.46,-8.98e-05,9.470000000000001e-05,-0.00035831800000000005,0.000363156,1.85,0.0001963,0.00035241969571425994,-3.98e-05,0.00036489616612009747,0.0003304165909390617,0.0003552339301409024
25.373,5.481669999999999,-9.109999999999999e-05,9.499999999999999e-05,-0.000357418,0.000361334,1.9080000000000001,0.000189378,0.0003506134688702134,-3.96e-05,0.0003626300912308556,0.00032913070446903206,0.000353327388187408
25.433000000000003,5.50333,-9.279999999999999e-05,9.53e-05,-0.00035648699999999995,0.00035904599999999996,1.9680000000000002,0.000182442,0.00034875517975627266,-3.9299999999999986e-05,0.0003603032037639832,0.00032780558876179547,0.0003513665356065715
25.5,5.525,-9.48e-05,9.570000000000001e-05,-0.00035544699999999995,0.000356309,2.035,0.00017509,0.00034669233668516315,-3.91e-05,0.00035772555983409253,0.0003263320122512825,0.00034919061552850266
25.564,5.54667,-9.65e-05,9.609999999999999e-05,-0.00035445400000000003,0.000354039,2.099,0.00016867099999999998,0.00034473388764109665,-3.8799999999999994e-05,0.00035528362914907466,0.00032493045517303107,0.00034712558040712925
