,Temp./°C,Time/min,dL/Lo,Certificate,Standard,Corrected,delT,EngAlpha,Fitted,Alpha
0,21.036,0.0,1.1659e-05,7.051778097953015e-05,-0.00021884690774865052,0.0003010236887281807,0.0,inf,0.00015373476473746228,-3.743396805903009e-06
0,21.042,0.02167,1.1876e-05,7.055145682486382e-05,-0.00021876522697536135,0.00030119268380022514,0.006000000000000227,0.05019878063336895,0.00015371230495724074,-3.7431966022099407e-06
0,21.039,0.04333,1.2279e-05,7.05346188439324e-05,-0.00021880606738770153,0.00030161968623163395,0.0030000000000001137,0.10053989541054084,0.00015372353469719858,-3.743296703379645e-06
0,21.044,0.065,1.2536e-05,7.056268221022031e-05,-0.00021873800000525231,0.00030183668221547263,0.007999999999999119,0.03772958527693823,0.00015370481863076957,-3.7431298688488313e-06
0,21.047,0.08667,1.264e-05,7.05795203853601e-05,-0.00021869715950726364,0.00030191667989262376,0.010999999999999233,0.027446970899331347,0.0001536935893913118,-3.743029769935205e-06
0,21.044,0.10833,1.3153e-05,7.056268221022031e-05,-0.00021873800000525231,0.00030245368221547264,0.007999999999999119,0.037806710276938243,0.00015370481863076957,-3.7431298688488313e-06
0,21.039,0.13,1.3053e-05,7.05346188439324e-05,-0.00021880606738770153,0.00030239368623163394,0.0030000000000001137,0.10079789541054082,0.00015372353469719858,-3.743296703379645e-06
0,21.038,0.15167,1.3313e-05,7.052900620951787e-05,-0.00021881968084706133,0.0003026616870565792,0.0019999999999988916,0.15133084352837348,0.00015372727801058551,-3.7433300707370256e-06
0,21.042,0.17333,1.3277e-05,7.055145682486382e-05,-0.00021876522697536135,0.0003025936838002252,0.006000000000000227,0.05043228063336896,0.00015371230495724074,-3.7431966022099407e-06
0,21.044,0.195,1.3549e-05,7.056268221022031e-05,-0.00021873800000525231,0.00030284968221547264,0.007999999999999119,0.03785621027693825,0.00015370481863076957,-3.7431298688488313e-06
0,21.042,0.21667,1.3839e-05,7.055145682486382e-05,-0.00021876522697536135,0.00030315568380022515,0.006000000000000227,0.05052594730003561,0.00015371230495724074,-3.7431966022099407e-06
0,21.046,0.23833,1.3895e-05,7.057390764736611e-05,-0.00021871077301230217,0.00030317968065966827,0.00999999999999801,0.03031796806597286,0.00015369733243776482,-3.7430631360893432e-06
0,21.043,0.26,1.403e-05,7.055706951106938e-05,-0.0002187516134931622,0.00030333868300423157,0.006999999999997897,0.0433340975720461,0.00015370856177732178,-3.7431632354541847e-06
0,21.044,0.28167,1.4424e-05,7.056268221022031e-05,-0.00021873800000525231,0.0003037246822154726,0.007999999999999119,0.03796558527693825,0.00015370481863076957,-3.7431298688488313e-06
0,21.043,0.30333,1.4601e-05,7.055706951106938e-05,-0.0002187516134931622,0.00030390968300423156,0.006999999999997897,0.04341566900061755,0.00015370856177732178,-3.7431632354541847e-06
0,21.042,0.325,1.4788e-05,7.055145682486382e-05,-0.00021876522697536135,0.0003041046838002252,0.006000000000000227,0.05068411396670228,0.00015371230495724074,-3.7431966022099407e-06
